ward_id,ward_name,candidate_forenames,candidate_surname,party_name,1st_preference_votes,elected,stage_elected
1,Dyce / Bucksburn / Danestone,Barney,Crockett,Aberdeen Labour,744,yes,6
1,Dyce / Bucksburn / Danestone,Coral,Duthie,Independent,509,,
1,Dyce / Bucksburn / Danestone,Graeme Stephen,Lawrence,Aberdeen Labour,458,,
1,Dyce / Bucksburn / Danestone,Neil,Macgregor,Scottish National Party,1670,yes,1
1,Dyce / Bucksburn / Danestone,Avril,Mackenzie,Scottish Conservative and Unionist,2012,yes,1
1,Dyce / Bucksburn / Danestone,Dororthy,Pearce,Scottish Liberal Democrats,430,,
1,Dyce / Bucksburn / Danestone,Gill,Samara,Scottish National Party,785,yes,6
2,Bridge of Don,Alison,Alphonse,Scottish National Party,1610,yes,1
2,Bridge of Don,Karen,Farquhar,Scottish Liberal Democrats,669,,
2,Bridge of Don,Brett,Hunt,Scottish Conservative and Unionist,1868,yes,1
2,Bridge of Don,James Edmund Rodgerson,Irving-Lewis,Solidarity,28,,
2,Bridge of Don,Simon,Mclean,Independent,70,,
2,Bridge of Don,John Michael,Reynolds,Independent,1045,yes,7
2,Bridge of Don,George,Saunders,Independent,279,,
2,Bridge of Don,Sandy,Stuart,Scottish National Party,862,yes,9
2,Bridge of Don,Willie,Young,Aberdeen Labour,805,,
3,Kingswells / Sheddocksley / Summerhill,David John,Cameron,Scottish National Party,895,yes,5
3,Kingswells / Sheddocksley / Summerhill,Philip Frederick,Clarke,UKIP,68,,
3,Kingswells / Sheddocksley / Summerhill,Steve,Delaney,Scottish Liberal Democrats,1825,yes,1
3,Kingswells / Sheddocksley / Summerhill,Josh,Mennie,Scottish National Party,678,,
3,Kingswells / Sheddocksley / Summerhill,Barry,Mitchell,Aberdeen Labour,690,,
3,Kingswells / Sheddocksley / Summerhill,Pippa,Robertson,Scottish Green Party,90,,
3,Kingswells / Sheddocksley / Summerhill,John,Wheeler,Scottish Conservative and Unionist,797,yes,7
4,Northfield / Mastrick North,Jackie,Dunbar,Scottish National Party,1747,yes,1
4,Northfield / Mastrick North,Sam,Forman,Scottish Liberal Democrats,154,,
4,Northfield / Mastrick North,Frank,Gilfeather,Aberdeen Labour,629,,
4,Northfield / Mastrick North,Gordon,Graham,Aberdeen Labour,692,yes,8
4,Northfield / Mastrick North,Alan,Martin,Scottish Conservative and Unionist,376,,
4,Northfield / Mastrick North,Ciaran,Mcrae,Scottish National Party,370,yes,6
4,Northfield / Mastrick North,Jessica,Mennie,Scottish National Party,333,,
4,Northfield / Mastrick North,Faith Jason,Robertson-Foy,Independent,81,,
5,Hilton / Woodside / Stockethill,Neil Cameron,Copland,Scottish National Party,1148,yes,1
5,Hilton / Woodside / Stockethill,Lesley,Dunbar,Aberdeen Labour,818,yes,6
5,Hilton / Woodside / Stockethill,David Page,Henderson,Independent,179,,
5,Hilton / Woodside / Stockethill,Freddie,John,Scottish Conservative and Unionist,889,yes,8
5,Hilton / Woodside / Stockethill,Peter,Kennedy,Scottish Green Party,186,,
5,Hilton / Woodside / Stockethill,Lewis,Macleod,Aberdeen Labour,369,,
5,Hilton / Woodside / Stockethill,Sam,Petchey,Scottish Liberal Democrats,219,,
5,Hilton / Woodside / Stockethill,Lauren Stephanie,Wards,Scottish National Party,729,,
6,Tillydrone / Seaton / Old Aberdeen,Stephen,Adams,UKIP,53,,
6,Tillydrone / Seaton / Old Aberdeen,Alex,Arthur,Scottish Green Party,178,,
6,Tillydrone / Seaton / Old Aberdeen,Emma,Farquhar,Scottish Conservative and Unionist,342,,
6,Tillydrone / Seaton / Old Aberdeen,Ross,Grant,Aberdeen Labour,867,yes,1
6,Tillydrone / Seaton / Old Aberdeen,Dave,Macdonald,National Front,29,,
6,Tillydrone / Seaton / Old Aberdeen,Alexander,McLellan,Scottish National Party,825,yes,1
6,Tillydrone / Seaton / Old Aberdeen,Ramsay,Milne,Aberdeen Labour,245,,
6,Tillydrone / Seaton / Old Aberdeen,Jim,Noble,Scottish National Party,545,yes,9
6,Tillydrone / Seaton / Old Aberdeen,Jenny,Wilson,Scottish Liberal Democrats,133,,
7,Midstocket / Rosemount,Cormie,Bill,Scottish National Party,1195,yes,1
7,Midstocket / Rosemount,Derek Edward,Davidson,Scottish National Party,398,,
7,Midstocket / Rosemount,Alex,Jarvis,Scottish Green Party,256,,
7,Midstocket / Rosemount,Jenny,Laing,Aberdeen Labour,935,yes,7
7,Midstocket / Rosemount,Dustin,Macdonald,Independent,311,,
7,Midstocket / Rosemount,Tom,Mason,Scottish Conservative and Unionist,1318,yes,1
7,Midstocket / Rosemount,Bill,Robb,Independent,97,,
7,Midstocket / Rosemount,William,Sell,Scottish Liberal Democrats,245,,
8,George Street / Harbour,Dell,Henrickson,Scottish National Party,753,yes,1
8,George Street / Harbour,Ryan,Houghton,Scottish Conservative and Unionist,588,yes,9
8,George Street / Harbour,Michael Frederick,Hutchison,Scottish National Party,632,yes,5
8,George Street / Harbour,Guy,Ingerson,Scottish Green Party,364,,
8,George Street / Harbour,Sandra,Macdonald,Aberdeen Labour,545,yes,7
8,George Street / Harbour,Mike,Scott,Aberdeen Labour,292,,
8,George Street / Harbour,John William,Stephen,UKIP,32,,
8,George Street / Harbour,Wendy Alison Edmond,Stuart,Scottish National Party,210,,
8,George Street / Harbour,John,Wadell,Scottish Liberal Democrats,206,,
9,Lower Deeside,Philip,Bell,Scottish Conservative and Unionist,2714,yes,1
9,Lower Deeside,Marie ,Boulton,Independent,1119,yes,6
9,Lower Deeside,Robbie,Bowman,Scottish Libertarian Party,31,,
9,Lower Deeside,M. Tauqeer,Malik,Aberdeen Labour,1040,yes,8
9,Lower Deeside,Pamela Diane,McBain,Scottish National Party,1028,,
9,Lower Deeside,Ken,McLeod,Scottish Liberal Democrats,541,,
9,Lower Deeside,Nir,Oren,Scottish Green Party,195,,
9,Lower Deeside,Kenneth Raymond,Pratt,Independent,143,,
10,Hazlehead / Queens Cross / Countesswells,John,Cooke,Scottish National Party,1210,yes,5
10,Hazlehead / Queens Cross / Countesswells,Martin,Greig,Scottish Liberal Democrats,1592,yes,1
10,Hazlehead / Queens Cross / Countesswells,Claire,Imrie,Scottish Conservative and Unionist,1326,yes,5
10,Hazlehead / Queens Cross / Countesswells,John,Mcleod,Aberdeen Labour,441,,
10,Hazlehead / Queens Cross / Countesswells,Steve,Robertson,Scottish Conservative and Unionist,1214,,
10,Hazlehead / Queens Cross / Countesswells,Jennifer,Stewart,Scottish Liberal Democrats,1725,yes,1
11,Airyhall / Broomhill / Garthdee,Douglas,Lumsden,Scottish Conservative and Unionist,1533,yes,1
11,Airyhall / Broomhill / Garthdee,Angela,Taylor,Aberdeen Labour,708,,
11,Airyhall / Broomhill / Garthdee,Gordon Scott,Townson,Scottish National Party,1417,yes,2
11,Airyhall / Broomhill / Garthdee,Ian,Yuill,Scottish Liberal Democrats,2458,yes,1
12,Torry / Ferryhill,Yvonne,Allan,Aberdeen Labour,843,yes,7
12,Torry / Ferryhill,Christian Guy,Allard,Scottish National Party,910,yes,9
12,Torry / Ferryhill,Alan,Donnelly,Scottish Conservative and Unionist,1337,yes,1
12,Torry / Ferryhill,David,Fryer,Independent,580,,
12,Torry / Ferryhill,Catriona,Mackenzie,Scottish National Party,847,yes,9
12,Torry / Ferryhill,Gregor,Mcabery,Scottish Liberal Democrats,286,,
12,Torry / Ferryhill,William Alan,Mcintosh,UKIP,49,,
12,Torry / Ferryhill,Renee,Slater,Scottish Green Party,269,,
12,Torry / Ferryhill,Piotr,Teodorowski,Aberdeen Labour,467,,
12,Torry / Ferryhill,Billy,Watson,National Front,10,,
13,Kincorth / Nigg / Cove,Finlay,Crossan,Independent,220,,
13,Kincorth / Nigg / Cove,Sarah,Duncan,Aberdeen Labour,590,yes,8
13,Kincorth / Nigg / Cove,Andy,Finlayson,Independent,562,,
13,Kincorth / Nigg / Cove,Cameron,Finnie,Scottish Liberal Democrats,270,,
13,Kincorth / Nigg / Cove,Stephen,Flynn,Scottish National Party,1396,yes,1
13,Kincorth / Nigg / Cove,Alex,Nicoll,Scottish National Party,707,yes,4
13,Kincorth / Nigg / Cove,Philip,Sellar,Scottish Conservative and Unionist,1113,yes,1
13,Kincorth / Nigg / Cove,Lynn,Thomson,Aberdeen Labour,318,,
